, URL to Results CSV,Total Value  Matches Total,Total Value Matches (Date),Total Value Matches (Loc),Total Value Matches (Misc),Total Value Matches (Org),Total Value Matches (Per),Exact Value Matches Total,Exact Value Matches (Date),Exact Value Matches (Loc),Exact Value Matches (Misc),Exact Value Matches (Org),Exact Value Matches (Per),Partial Value  Matches Total,Partial Value Matches (Date),Partial Value Matches (Loc),Partial Value Matches (Misc),Partial Value Matches (Org),Partial Value Matches (Per),Type Matches Total,Type Matches (Date),Type Matches (Loc),Type Matches (Misc),Type Matches (Org),Type Matches (Per),Notes
nltk results,https://github.com/SemanticLab/DADAlytics-ner-evaluation/blob/master/data/metadata_umbra/comparison_nltk_metadata_umbra.csv,53,4,26,3,7,13,43,1,24,3,6,9,10,3,2,0,1,4,23,0,12,0,5,6,*not all type matches were also an exact match
opener results,https://github.com/SemanticLab/DADAlytics-ner-evaluation/blob/master/data/metadata_umbra/comparison_opener_metadata_umbra.csv,44,0,23,2,5,14,43,0,23,2,5,13,1,0,0,0,0,1,26,0,14,1,0,11,
parsey results,https://github.com/SemanticLab/DADAlytics-ner-evaluation/blob/master/data/metadata_umbra/comparison_parsey_metadata_umbra.csv,30,0,13,2,3,12,29,0,13,2,3,11,1,0,0,0,0,1,0,0,0,0,0,0,
spacy results,https://github.com/SemanticLab/DADAlytics-ner-evaluation/blob/master/data/metadata_umbra/comparison_spacy_metadata_umbra.csv,77,12,35,5,9,14,53,7,24,4,4,14,24,5,11,1,5,2,32,7,8,0,3,14,
spotlight results,https://github.com/SemanticLab/DADAlytics-ner-evaluation/blob/master/data/metadata_umbra/comparison_spotlight_metadata_umbra.csv,20,0,14,2,2,2,19,0,14,2,2,1,1,0,0,0,0,1,13,0,10,2,0,1,"really low numbers, did this run correctly?"
stanford results,https://github.com/SemanticLab/DADAlytics-ner-evaluation/blob/master/data/metadata_umbra/comparison_stanford_metadata_umbra.csv,64,12,31,1,6,14,58,11,29,1,5,12,6,1,2,0,1,2,40,11,14,0,4,11,
