,URL to Results CSV,Total Marked-Up Entities Total,Total Marked-Up Entities (Date),Total Marked-Up Entities (Loc),Total Marked-Up Entities (Org),Total Marked-Up Entities (Per),Total Marked-Up Entities (Misc),Total Value  Matches Total,Total Value Matches (Date),Total Value Matches (Loc),Total Value Matches (Org),Total Value Matches (Per),Total Value Matches (Misc),Exact Value Matches Total,Exact Value Matches (Date),Exact Value Matches (Loc),Exact Value Matches (Org),Exact Value Matches (Per),Exact Value Matches (Misc),Partial Value  Matches Total,Partial Value Matches (Date),Partial Value Matches (Loc),Partial Value Matches (Org),Partial Value Matches (Per),Partial Value Matches (Misc),Type Matches Total,Type Matches (Date),Type Matches (Loc),Type Matches (Org),Type Matches (Per),Type Matches (Misc)
nltk results,https://github.com/SemanticLab/DADAlytics-ner-evaluation/blob/master/data/interview_lember/comparison_nltk_interview_lember.csv,132,14,38,3,40,37,95,2,32,3,33,25,87,1,31,3,28,24,8,1,1,0,5,1,29,0,21,1,7,0
opener results,https://github.com/SemanticLab/DADAlytics-ner-evaluation/blob/master/data/interview_lember/comparison_opener_interview_lember.csv,132,14,38,3,40,37,94,0,33,3,32,26,88,0,31,3,30,24,6,0,2,0,2,2,55,0,23,0,24,8
parsey results,https://github.com/SemanticLab/DADAlytics-ner-evaluation/blob/master/data/interview_lember/comparison_parsey_interview_lember.csv,132,14,38,3,40,37,82,0,28,2,32,20,74,0,28,1,29,16,8,0,0,1,3,4,0,0,0,0,0,0
spacy results,https://github.com/SemanticLab/DADAlytics-ner-evaluation/blob/master/data/interview_lember/comparison_spacy_interview_lember.csv,132,14,38,3,40,37,108,6,35,3,37,27,90,5,27,1,35,22,18,1,8,2,2,5,50,4,13,0,29,3
spotlight results,https://github.com/SemanticLab/DADAlytics-ner-evaluation/blob/master/data/interview_lember/comparison_spotlight_interview_lember.csv,132,14,38,3,40,37,66,0,24,0,21,21,61,0,22,0,18,21,5,0,2,0,3,0,40,0,18,0,13,9
stanford results,https://github.com/SemanticLab/DADAlytics-ner-evaluation/blob/master/data/interview_lember/comparison_stanford_interview_lember.csv,132,14,38,3,40,37,60,6,17,2,21,14,57,6,16,2,19,14,3,0,1,0,2,0,35,6,14,2,13,0
